kel,No,Nama Koperasi,Koordinat,Provinsi ,Kota,Kecamatan,Desa,Progres Pembangunan (%),Kategori Pembangunan
,100,KOPERASI DESA MERAH PUTIH KLAPAGADING KECAMATAN WANGON KABUPATEN BANYUMAS,"-7.5216589,109.0681723",JAWA TENGAH,KAB. BANYUMAS,Wangon,Klapagading,82.66,> 75%
21,101,KOPERASI DESA MERAH PUTIH KALISUBE KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.5157194,109.2752527",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Kalisube,82.39,> 75%
,102,KOPERASI DESA MERAH PUTIH KARANGANYAR KECAMATAN JATILAWANG KABUPATEN BANYUMAS,"-7.5442352,109.1412225",JAWA TENGAH,KAB. BANYUMAS,Jatilawang,Karanganyar,82.23,> 75%
,103,KOPERASI DESA MERAH PUTIH PANDAK KECAMATAN SUMPIUH KABUPATEN BANYUMAS,"-7.6137492,109.3393942",JAWA TENGAH,KAB. BANYUMAS,Sumpiuh,Pandak,80.93,> 75%
,104,KOPERASI DESA MERAH PUTIH LIMPAKUWUS KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.3076195,109.2468132",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Limpakuwus,80.54,> 75%
,105,KOPERASI DESA MERAH PUTIH BINANGUN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.5369691,109.2465611",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Binangun,79.72,> 75%
22,106,KOPERASI DESA MERAH PUTIH PEKUNDEN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.523129009,109.285301",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Pekunden,79.03,> 75%
,107,KOPERASI DESA MERAH PUTIH PASIR LOR KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.404529743,109.2030833",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Pasir Lor,78.66,> 75%
,108,KOPERASI DESA MERAH PUTIH KEDUNGUTER KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.5112193,109.2989955",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Kedunguter,78.53,> 75%
,109,KOPERASI DESA MERAH PUTIH KARANGMANGU KECAMATAN PURWOJATI KABUPATEN BANYUMAS,"-7.479750782,109.1405795",JAWA TENGAH,KAB. BANYUMAS,Purwojati,Karangmangu,78.34,> 75%
,110,KOPERASI DESA MERAH PUTIH KARANG TENGAH KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.344909243,109.2277562",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Karang Tengah,78.22,> 75%
23,111,KOPERASI DESA MERAH PUTIH KARANGKEDAWUNG KECAMATAN SOKARAJA KABUPATEN BANYUMAS,"- 7.454829096,109.2777687",JAWA TENGAH,KAB. BANYUMAS,Sokaraja,Karangkedawung,78.05,> 75%
,112,KOPERASI DESA MERAH PUTIH SOMAKATON KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,"-7.501286105,109.3447647",JAWA TENGAH,KAB. BANYUMAS,Somagede,Somakaton,77.91,> 75%
,113,KOPERASI DESA MERAH PUTIH KUTASARI KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.384087922,109.2324302",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Kutasari,77.86,> 75%
,114,KOPERASI DESA MERAH PUTIH CIPETE KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.4167909,109.1267119",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Cipete,77.38,> 75%
,115,KOPERASI DESA MERAH PUTIH KARANGGUDE KULON KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.410446, 109.184558",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Karanggude Kulon,76.00,> 75%
,116,KOPERASI DESA MERAH PUTIH CIKIDANG KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.397807, 109.124969",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Cikidang,75.15,> 75%
,117,KOPERASI DESA MERAH PUTIH SIKAPAT KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.342811, 109.279282",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Sikapat,75.11,> 75%
